Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,187.0,187.0,187.0,187.0,187.0,73100
2017-05-12,252.0,252.0,252.0,252.0,252.0,2807300
2017-05-15,252.0,314.0,252.0,314.0,314.0,8492200
2017-05-16,336.0,392.0,336.0,392.0,392.0,866800
2017-05-17,410.0,490.0,410.0,490.0,490.0,312200
2017-05-18,550.0,610.0,550.0,610.0,610.0,3149900
2017-05-19,615.0,760.0,615.0,700.0,700.0,3842200
2017-05-22,700.0,700.0,700.0,700.0,700.0,0
2017-05-23,700.0,760.0,640.0,720.0,720.0,2416700
2017-05-24,720.0,740.0,715.0,730.0,730.0,828600
2017-05-26,725.0,740.0,720.0,740.0,740.0,957500
2017-05-29,725.0,790.0,725.0,790.0,790.0,1740600
2017-05-30,775.0,800.0,775.0,795.0,795.0,572500
2017-05-31,795.0,820.0,780.0,815.0,815.0,831000
2017-06-01,815.0,815.0,815.0,815.0,815.0,0
2017-06-02,800.0,810.0,800.0,805.0,805.0,192700
2017-06-05,810.0,840.0,810.0,835.0,835.0,433000
2017-06-06,830.0,845.0,830.0,840.0,840.0,336700
2017-06-07,835.0,845.0,835.0,840.0,840.0,189700
2017-06-08,840.0,875.0,835.0,870.0,870.0,667300
2017-06-09,865.0,910.0,865.0,910.0,910.0,639600
2017-06-12,905.0,955.0,905.0,955.0,955.0,656900
2017-06-13,950.0,1190.0,945.0,1190.0,1190.0,1972800
2017-06-14,1185.0,1485.0,1145.0,1475.0,1475.0,2274300
2017-06-15,1475.0,1590.0,1360.0,1360.0,1360.0,3489800
2017-06-16,1360.0,1520.0,1360.0,1390.0,1390.0,2194800
2017-06-19,1365.0,1415.0,1365.0,1395.0,1395.0,1281800
2017-06-20,1390.0,1390.0,1365.0,1380.0,1380.0,1746400
2017-06-21,1380.0,1415.0,1375.0,1375.0,1375.0,382000
2017-06-22,1380.0,1390.0,1375.0,1375.0,1375.0,316200
2017-06-23,1375.0,1375.0,1375.0,1375.0,1375.0,0
2017-06-26,1375.0,1375.0,1375.0,1375.0,1375.0,0
2017-06-27,1375.0,1375.0,1375.0,1375.0,1375.0,0
2017-06-28,1375.0,1375.0,1375.0,1375.0,1375.0,0
2017-06-29,1375.0,1375.0,1375.0,1375.0,1375.0,0
2017-06-30,1375.0,1375.0,1375.0,1375.0,1375.0,0
2017-07-03,1380.0,1450.0,1380.0,1445.0,1445.0,591900
2017-07-04,1430.0,1800.0,1430.0,1790.0,1790.0,1583300
2017-07-05,1790.0,1790.0,1790.0,1790.0,1790.0,0
2017-07-06,1790.0,1790.0,1790.0,1790.0,1790.0,0
2017-07-07,1790.0,1790.0,1790.0,1790.0,1790.0,0
2017-07-10,1745.0,1770.0,1725.0,1730.0,1730.0,1177200
2017-07-11,1735.0,1970.0,1735.0,1790.0,1790.0,1251500
2017-07-12,1790.0,1875.0,1785.0,1805.0,1805.0,793400
2017-07-13,1795.0,1835.0,1795.0,1805.0,1805.0,485400
2017-07-14,1805.0,1850.0,1805.0,1815.0,1815.0,541700
2017-07-17,1815.0,1880.0,1810.0,1810.0,1810.0,906700
2017-07-18,1805.0,1855.0,1805.0,1815.0,1815.0,737000
2017-07-19,1815.0,1845.0,1815.0,1835.0,1835.0,357000
2017-07-20,1835.0,1855.0,1835.0,1835.0,1835.0,416200
2017-07-21,1835.0,1845.0,1835.0,1835.0,1835.0,357900
2017-07-24,1835.0,1850.0,1835.0,1850.0,1850.0,285900
2017-07-25,1840.0,1890.0,1840.0,1885.0,1885.0,457900
2017-07-26,1865.0,1890.0,1865.0,1870.0,1870.0,393900
2017-07-27,1855.0,2100.0,1855.0,1860.0,1860.0,761300
2017-07-28,1860.0,1940.0,1860.0,1910.0,1910.0,747500
2017-07-31,1910.0,2100.0,1905.0,2070.0,2070.0,842700
2017-08-01,2060.0,2280.0,2060.0,2240.0,2240.0,801400
2017-08-02,2450.0,2490.0,2210.0,2450.0,2450.0,1012000
2017-08-03,2410.0,3000.0,2400.0,2980.0,2980.0,1093700
2017-08-04,2980.0,3590.0,2980.0,3500.0,3500.0,1810300
2017-08-07,3450.0,3500.0,3170.0,3230.0,3230.0,1068800
2017-08-08,3240.0,3300.0,3230.0,3240.0,3240.0,1098900
2017-08-09,3240.0,3290.0,3230.0,3230.0,3230.0,790600
2017-08-10,3230.0,3260.0,3230.0,3240.0,3240.0,847600
2017-08-11,3240.0,3280.0,3230.0,3240.0,3240.0,273500
2017-08-14,3240.0,3250.0,3230.0,3240.0,3240.0,135400
2017-08-15,3240.0,3450.0,3240.0,3350.0,3350.0,607300
2017-08-16,3250.0,3350.0,3240.0,3270.0,3270.0,425600
2017-08-17,3270.0,3270.0,3270.0,3270.0,3270.0,0
2017-08-18,3240.0,3330.0,3240.0,3270.0,3270.0,667200
2017-08-21,3270.0,3280.0,3250.0,3260.0,3260.0,229700
2017-08-22,3250.0,4070.0,3250.0,4070.0,4070.0,1239100
2017-08-23,4100.0,4950.0,3840.0,4070.0,4070.0,1125300
2017-08-24,4070.0,4350.0,3630.0,3650.0,3650.0,670800
2017-08-25,3650.0,3740.0,3500.0,3580.0,3580.0,440600
2017-08-28,3580.0,3800.0,3580.0,3670.0,3670.0,233000
2017-08-29,3670.0,3710.0,3650.0,3670.0,3670.0,286800
