Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,234.0,234.0,159.0,179.0,176.602676,125250600
2017-10-04,180.0,186.0,179.0,181.0,178.575897,35267900
2017-10-05,181.0,181.0,174.0,175.0,172.65625,23080900
2017-10-06,175.0,178.0,173.0,175.0,172.65625,19750100
2017-10-09,175.0,175.0,173.0,174.0,171.669647,15902400
2017-10-10,174.0,175.0,171.0,173.0,170.683029,16041400
2017-10-11,172.0,175.0,171.0,172.0,169.696426,11786200
2017-10-12,172.0,174.0,171.0,172.0,169.696426,18260700
2017-10-13,172.0,173.0,171.0,173.0,170.683029,11308600
2017-10-16,173.0,175.0,172.0,174.0,171.669647,14224300
2017-10-17,175.0,176.0,175.0,175.0,172.65625,11137400
2017-10-18,175.0,176.0,175.0,175.0,172.65625,10244100
2017-10-19,175.0,176.0,174.0,174.0,171.669647,9598600
2017-10-20,175.0,175.0,174.0,174.0,171.669647,6528200
2017-10-23,175.0,177.0,174.0,176.0,173.642853,16595000
2017-10-24,176.0,178.0,174.0,176.0,173.642853,9604500
2017-10-25,176.0,177.0,175.0,175.0,172.65625,10218500
2017-10-26,176.0,177.0,175.0,176.0,173.642853,10412800
2017-10-27,176.0,177.0,175.0,175.0,172.65625,4359700
2017-10-30,176.0,177.0,175.0,176.0,173.642853,4951500
2017-10-31,176.0,177.0,175.0,175.0,172.65625,7342900
2017-11-01,176.0,178.0,176.0,177.0,174.629456,13979600
2017-11-02,177.0,179.0,177.0,179.0,176.602676,7796800
2017-11-03,179.0,182.0,179.0,182.0,179.5625,14568900
2017-11-06,182.0,184.0,181.0,183.0,180.549103,12069800
2017-11-07,183.0,184.0,182.0,183.0,180.549103,9226300
2017-11-08,183.0,184.0,182.0,184.0,181.535706,7002500
2017-11-09,184.0,186.0,184.0,186.0,183.508926,11606300
2017-11-10,184.0,185.0,184.0,184.0,181.535706,7417300
2017-11-13,184.0,186.0,184.0,184.0,181.535706,10103600
2017-11-14,185.0,186.0,184.0,186.0,183.508926,10644100
2017-11-15,186.0,193.0,186.0,191.0,188.441956,17740300
2017-11-16,192.0,194.0,192.0,194.0,191.401779,11387400
2017-11-17,193.0,194.0,193.0,194.0,191.401779,11305700
2017-11-20,194.0,200.0,194.0,200.0,197.321426,21583900
2017-11-21,200.0,210.0,200.0,208.0,205.214279,16045800
2017-11-22,208.0,218.0,208.0,216.0,213.10714700000003,15901500
2017-11-23,216.0,218.0,204.0,208.0,205.214279,16101800
2017-11-24,208.0,210.0,199.0,200.0,197.321426,14678600
2017-11-27,200.0,204.0,199.0,199.0,196.334824,9125700
2017-11-28,200.0,200.0,196.0,197.0,194.361603,14506300
2017-11-29,197.0,198.0,196.0,196.0,193.375,7512100
2017-11-30,198.0,200.0,197.0,200.0,197.321426,11695800
2017-12-01,200.0,200.0,200.0,200.0,197.321426,0
2017-12-04,200.0,212.0,200.0,212.0,209.160706,28960500
2017-12-05,214.0,214.0,200.0,204.0,201.267853,14766400
2017-12-06,204.0,206.0,202.0,204.0,201.267853,13737700
2017-12-07,204.0,208.0,204.0,204.0,201.267853,8223200
2017-12-08,206.0,208.0,202.0,206.0,203.241074,11255300
2017-12-11,206.0,208.0,204.0,204.0,201.267853,11800400
2017-12-12,206.0,208.0,206.0,206.0,203.241074,7629400
2017-12-13,206.0,208.0,206.0,206.0,203.241074,10224200
2017-12-14,206.0,208.0,204.0,206.0,203.241074,13314600
2017-12-15,206.0,208.0,206.0,208.0,205.214279,10080600
2017-12-18,208.0,212.0,208.0,212.0,209.160706,15155300
2017-12-19,212.0,216.0,212.0,212.0,209.160706,15421400
2017-12-20,212.0,214.0,208.0,208.0,205.214279,14201700
2017-12-21,208.0,210.0,206.0,210.0,207.1875,12967400
2017-12-22,210.0,212.0,210.0,210.0,207.1875,6793000
2017-12-25,210.0,210.0,210.0,210.0,207.1875,0
2017-12-26,210.0,210.0,210.0,210.0,207.1875,0
2017-12-27,210.0,210.0,208.0,210.0,207.1875,10443100
2017-12-28,210.0,212.0,210.0,212.0,209.160706,7535000
2017-12-29,212.0,212.0,210.0,210.0,207.1875,7769600
2018-01-01,210.0,210.0,210.0,210.0,207.1875,0
2018-01-02,210.0,210.0,208.0,210.0,207.1875,7516300
2018-01-03,210.0,210.0,208.0,210.0,207.1875,7794500
