Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,252.0,252.0,252.0,252.0,252.0,200100
2018-03-29,314.0,314.0,314.0,314.0,314.0,120700
2018-03-30,314.0,314.0,314.0,314.0,314.0,0
2018-04-02,392.0,392.0,392.0,392.0,392.0,14400
2018-04-03,490.0,490.0,490.0,490.0,490.0,109400
2018-04-04,610.0,610.0,610.0,610.0,610.0,554000
2018-04-05,755.0,760.0,462.0,480.0,480.0,95779700
2018-04-06,482.0,530.0,476.0,500.0,500.0,37297000
2018-04-09,496.0,525.0,460.0,462.0,462.0,51193300
2018-04-10,456.0,476.0,420.0,420.0,420.0,66362900
2018-04-11,420.0,430.0,368.0,368.0,368.0,68081500
2018-04-12,356.0,380.0,342.0,370.0,370.0,47132700
2018-04-13,370.0,384.0,354.0,370.0,370.0,55131400
2018-04-16,370.0,370.0,370.0,370.0,370.0,0
2018-04-17,370.0,370.0,370.0,370.0,370.0,0
2018-04-18,332.0,334.0,294.0,296.0,296.0,84544300
2018-04-19,296.0,296.0,296.0,296.0,296.0,0
2018-04-20,296.0,296.0,296.0,296.0,296.0,0
2018-04-23,294.0,294.0,258.0,258.0,258.0,86644000
2018-04-24,262.0,262.0,236.0,238.0,238.0,35112300
2018-04-25,238.0,238.0,238.0,238.0,238.0,0
2018-04-26,238.0,238.0,238.0,238.0,238.0,0
2018-04-27,238.0,238.0,238.0,238.0,238.0,0
2018-04-30,214.0,224.0,206.0,216.0,216.0,33440200
2018-05-01,216.0,216.0,216.0,216.0,216.0,0
2018-05-02,218.0,224.0,189.0,189.0,189.0,85827800
2018-05-03,189.0,190.0,143.0,144.0,144.0,46370100
2018-05-04,145.0,160.0,140.0,142.0,142.0,5343500
2018-05-07,149.0,149.0,131.0,133.0,133.0,3502700
2018-05-08,134.0,137.0,118.0,119.0,119.0,3551300
2018-05-09,121.0,128.0,108.0,117.0,117.0,6021700
2018-05-10,117.0,117.0,117.0,117.0,117.0,0
2018-05-11,117.0,135.0,115.0,126.0,126.0,13408200
2018-05-14,126.0,133.0,121.0,123.0,123.0,4370600
2018-05-15,123.0,134.0,121.0,124.0,124.0,7512100
2018-05-16,124.0,167.0,121.0,140.0,140.0,67734600
2018-05-17,140.0,150.0,129.0,130.0,130.0,37160600
2018-05-18,130.0,131.0,124.0,125.0,125.0,4398700
2018-05-21,125.0,140.0,120.0,128.0,128.0,15874400
2018-05-22,128.0,130.0,124.0,124.0,124.0,3962700
2018-05-23,121.0,125.0,120.0,120.0,120.0,4283000
2018-05-24,119.0,124.0,118.0,120.0,120.0,3317200
2018-05-25,120.0,122.0,116.0,117.0,117.0,2307100
2018-05-28,118.0,121.0,117.0,119.0,119.0,2166100
2018-05-29,119.0,119.0,119.0,119.0,119.0,0
2018-05-30,120.0,135.0,119.0,123.0,123.0,6798800
2018-05-31,125.0,128.0,119.0,120.0,120.0,3257300
2018-06-01,120.0,120.0,120.0,120.0,120.0,0
2018-06-04,121.0,128.0,117.0,119.0,119.0,3268800
2018-06-05,119.0,120.0,117.0,117.0,117.0,1753800
2018-06-06,117.0,119.0,115.0,117.0,117.0,2790900
2018-06-07,120.0,120.0,116.0,117.0,117.0,905300
2018-06-08,117.0,137.0,116.0,121.0,121.0,29172200
2018-06-11,121.0,121.0,121.0,121.0,121.0,0
2018-06-12,121.0,121.0,121.0,121.0,121.0,0
2018-06-13,121.0,121.0,121.0,121.0,121.0,0
2018-06-14,121.0,121.0,121.0,121.0,121.0,0
2018-06-15,121.0,121.0,121.0,121.0,121.0,0
2018-06-18,121.0,121.0,121.0,121.0,121.0,0
2018-06-19,121.0,121.0,121.0,121.0,121.0,0
2018-06-20,125.0,128.0,121.0,126.0,126.0,5228100
2018-06-21,130.0,132.0,121.0,121.0,121.0,3277000
2018-06-22,125.0,125.0,116.0,117.0,117.0,5316600
2018-06-25,121.0,121.0,113.0,114.0,114.0,3030300
2018-06-26,114.0,114.0,107.0,111.0,111.0,4302200
2018-06-27,113.0,130.0,109.0,112.0,112.0,10325100
2018-06-28,114.0,117.0,110.0,111.0,111.0,2567400
2018-06-29,114.0,114.0,108.0,111.0,111.0,7250700
2018-07-02,113.0,116.0,110.0,110.0,110.0,6215400
2018-07-03,115.0,115.0,108.0,109.0,109.0,3147400
2018-07-04,110.0,110.0,107.0,107.0,107.0,1893900
2018-07-05,107.0,107.0,103.0,104.0,104.0,2406700
2018-07-06,108.0,109.0,103.0,103.0,103.0,2502000
2018-07-09,106.0,112.0,103.0,106.0,106.0,6371700
2018-07-10,110.0,110.0,102.0,103.0,103.0,4033800
2018-07-11,104.0,105.0,100.0,102.0,102.0,1396200
2018-07-12,101.0,106.0,101.0,104.0,104.0,1976200
2018-07-13,104.0,105.0,100.0,102.0,102.0,4007200
2018-07-16,102.0,103.0,100.0,102.0,102.0,1893300
2018-07-17,103.0,105.0,101.0,102.0,102.0,2567900
2018-07-18,102.0,103.0,101.0,101.0,101.0,1087600
2018-07-19,102.0,103.0,101.0,101.0,101.0,1475200
2018-07-20,102.0,104.0,101.0,102.0,102.0,1454200
2018-07-23,102.0,106.0,101.0,101.0,101.0,2174800
2018-07-24,101.0,104.0,101.0,101.0,101.0,1682600
2018-07-25,101.0,103.0,101.0,101.0,101.0,717500
2018-07-26,101.0,111.0,101.0,103.0,103.0,12594200
2018-07-27,103.0,107.0,102.0,103.0,103.0,2238200
2018-07-30,104.0,104.0,102.0,102.0,102.0,853300
2018-07-31,103.0,104.0,101.0,101.0,101.0,1119000
2018-08-01,101.0,127.0,101.0,122.0,122.0,15868500
2018-08-02,117.0,130.0,111.0,114.0,114.0,7337000
2018-08-03,118.0,118.0,112.0,113.0,113.0,1429100
2018-08-06,115.0,119.0,108.0,111.0,111.0,5869800
2018-08-07,112.0,113.0,106.0,106.0,106.0,1372800
2018-08-08,102.0,120.0,102.0,113.0,113.0,13125500
2018-08-09,115.0,123.0,109.0,111.0,111.0,7059400
2018-08-10,107.0,116.0,106.0,110.0,110.0,6716400
2018-08-13,110.0,112.0,100.0,103.0,103.0,6467500
2018-08-14,108.0,108.0,101.0,103.0,103.0,1058300
2018-08-15,107.0,109.0,101.0,104.0,104.0,8950800
2018-08-16,104.0,105.0,101.0,103.0,103.0,4118800
2018-08-17,103.0,103.0,103.0,103.0,103.0,0
2018-08-20,103.0,104.0,101.0,103.0,103.0,886900
2018-08-21,108.0,108.0,102.0,103.0,103.0,974500
2018-08-22,103.0,103.0,103.0,103.0,103.0,0
2018-08-23,107.0,107.0,102.0,103.0,103.0,1323100
2018-08-24,106.0,107.0,103.0,103.0,103.0,2329900
2018-08-27,107.0,107.0,103.0,103.0,103.0,537900
2018-08-28,106.0,106.0,102.0,102.0,102.0,1397300
2018-08-29,106.0,106.0,101.0,102.0,102.0,1794500
2018-08-30,105.0,105.0,101.0,101.0,101.0,386700
2018-08-31,105.0,105.0,101.0,101.0,101.0,261200
2018-09-03,104.0,104.0,100.0,101.0,101.0,1198100
2018-09-04,103.0,103.0,99.0,101.0,101.0,609500
2018-09-05,103.0,103.0,90.0,93.0,93.0,3012400
2018-09-06,93.0,96.0,91.0,92.0,92.0,1301600
2018-09-07,92.0,95.0,92.0,94.0,94.0,721300
2018-09-10,89.0,97.0,89.0,96.0,96.0,699700
2018-09-11,96.0,96.0,96.0,96.0,96.0,0
2018-09-12,96.0,99.0,96.0,97.0,97.0,628400
2018-09-13,97.0,97.0,95.0,96.0,96.0,917900
2018-09-14,95.0,103.0,95.0,100.0,100.0,3593700
2018-09-17,105.0,105.0,98.0,98.0,98.0,1658900
2018-09-18,98.0,99.0,96.0,96.0,96.0,603100
2018-09-19,96.0,104.0,96.0,99.0,99.0,2029700
2018-09-20,94.0,101.0,94.0,98.0,98.0,495200
2018-09-21,93.0,98.0,93.0,97.0,97.0,173400
2018-09-24,93.0,99.0,93.0,97.0,97.0,470600
2018-09-25,95.0,102.0,95.0,97.0,97.0,3670200
2018-09-26,98.0,98.0,96.0,97.0,97.0,851900
2018-09-27,98.0,100.0,97.0,99.0,99.0,879900
2018-09-28,100.0,100.0,97.0,99.0,99.0,593500
2018-10-01,102.0,113.0,98.0,99.0,99.0,7800100
2018-10-02,100.0,100.0,96.0,97.0,97.0,2681300
2018-10-03,92.0,98.0,92.0,97.0,97.0,461600
2018-10-04,96.0,96.0,94.0,94.0,94.0,1306500
2018-10-05,90.0,96.0,90.0,93.0,93.0,454400
2018-10-08,90.0,93.0,89.0,90.0,90.0,2058200
2018-10-09,90.0,90.0,86.0,88.0,88.0,1796800
2018-10-10,85.0,89.0,85.0,88.0,88.0,722400
2018-10-11,87.0,88.0,83.0,86.0,86.0,1224700
2018-10-12,90.0,90.0,85.0,86.0,86.0,1284500
2018-10-15,86.0,88.0,85.0,86.0,86.0,1191100
2018-10-16,86.0,87.0,84.0,85.0,85.0,1156500
2018-10-17,85.0,85.0,82.0,84.0,84.0,890400
2018-10-18,79.0,86.0,79.0,85.0,85.0,1830100
2018-10-19,87.0,102.0,84.0,94.0,94.0,16704700
2018-10-22,95.0,99.0,93.0,93.0,93.0,6482600
2018-10-23,89.0,96.0,89.0,92.0,92.0,1949200
2018-10-24,87.0,96.0,87.0,93.0,93.0,1406200
2018-10-25,88.0,95.0,88.0,95.0,95.0,1414300
2018-10-26,90.0,98.0,90.0,92.0,92.0,489200
2018-10-29,95.0,97.0,93.0,95.0,95.0,2577100
2018-10-30,91.0,97.0,91.0,95.0,95.0,671400
2018-10-31,97.0,98.0,95.0,95.0,95.0,1390600
2018-11-01,92.0,99.0,92.0,95.0,95.0,900900
2018-11-02,91.0,98.0,91.0,96.0,96.0,981400
2018-11-05,95.0,100.0,95.0,98.0,98.0,885300
2018-11-06,93.0,104.0,93.0,97.0,97.0,1462900
2018-11-07,97.0,100.0,97.0,99.0,99.0,557800
2018-11-08,93.0,104.0,93.0,99.0,99.0,1803200
2018-11-09,94.0,113.0,94.0,104.0,104.0,6198800
2018-11-12,104.0,126.0,104.0,117.0,117.0,13006300
2018-11-13,117.0,121.0,111.0,113.0,113.0,4205300
2018-11-14,113.0,115.0,110.0,115.0,115.0,2319000
2018-11-15,111.0,122.0,111.0,120.0,120.0,2238200
2018-11-16,122.0,132.0,121.0,122.0,122.0,4788500
2018-11-19,122.0,124.0,117.0,119.0,119.0,2000700
2018-11-20,119.0,119.0,119.0,119.0,119.0,0
2018-11-21,117.0,127.0,116.0,121.0,121.0,4159600
2018-11-22,122.0,125.0,119.0,121.0,121.0,2518200
2018-11-23,116.0,125.0,116.0,120.0,120.0,1375300
2018-11-26,118.0,123.0,118.0,121.0,121.0,1739400
2018-11-27,118.0,129.0,118.0,123.0,123.0,4056300
2018-11-28,120.0,128.0,120.0,122.0,122.0,607400
2018-11-29,123.0,124.0,120.0,120.0,120.0,1102700
2018-11-30,115.0,124.0,115.0,118.0,118.0,760500
2018-12-03,120.0,122.0,117.0,122.0,122.0,682500
2018-12-04,119.0,124.0,119.0,121.0,121.0,105200
2018-12-05,119.0,123.0,119.0,122.0,122.0,852800
2018-12-06,119.0,121.0,117.0,117.0,117.0,231100
2018-12-07,117.0,124.0,117.0,121.0,121.0,1471500
2018-12-10,120.0,120.0,118.0,118.0,118.0,129000
2018-12-11,117.0,121.0,109.0,118.0,118.0,887300
2018-12-12,116.0,118.0,114.0,114.0,114.0,91900
2018-12-13,114.0,117.0,113.0,114.0,114.0,439200
2018-12-14,116.0,116.0,114.0,114.0,114.0,213600
2018-12-17,115.0,116.0,112.0,113.0,113.0,102100
2018-12-18,115.0,125.0,112.0,118.0,118.0,246200
2018-12-19,118.0,121.0,116.0,120.0,120.0,202100
2018-12-20,120.0,121.0,115.0,116.0,116.0,194100
2018-12-21,116.0,120.0,115.0,115.0,115.0,341900
2018-12-24,115.0,115.0,115.0,115.0,115.0,0
2018-12-25,115.0,115.0,115.0,115.0,115.0,0
