Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,620.0,885.0,620.0,885.0,865.468933,741100
2015-06-30,950.0,1105.0,875.0,1105.0,1080.61377,1457400
2015-07-01,1145.0,1320.0,1130.0,1155.0,1129.510376,2066200
2015-07-02,1200.0,1235.0,1050.0,1055.0,1031.717285,814800
2015-07-03,1055.0,1065.0,940.0,945.0,924.1448359999999,836700
2015-07-06,945.0,1040.0,800.0,980.0,958.372375,766600
2015-07-07,980.0,985.0,890.0,925.0,904.586182,539800
2015-07-08,900.0,910.0,840.0,865.0,845.910339,161900
2015-07-09,890.0,890.0,815.0,865.0,845.910339,331000
2015-07-10,865.0,880.0,820.0,865.0,845.910339,153000
2015-07-13,850.0,950.0,830.0,870.0,850.7999880000001,230000
2015-07-14,875.0,880.0,840.0,880.0,860.5792849999999,228500
2015-07-15,840.0,900.0,840.0,870.0,850.7999880000001,113800
2015-07-22,850.0,880.0,820.0,860.0,841.020691,208800
2015-07-23,900.0,900.0,830.0,865.0,845.910339,88300
2015-07-24,880.0,880.0,830.0,860.0,841.020691,194400
2015-07-27,840.0,865.0,840.0,865.0,845.910339,182600
2015-07-28,840.0,865.0,840.0,845.0,826.351685,157100
2015-07-29,845.0,865.0,840.0,845.0,826.351685,139100
2015-07-30,860.0,925.0,845.0,895.0,875.248291,333800
2015-07-31,920.0,920.0,870.0,910.0,889.9172359999999,3600
2015-08-03,930.0,1000.0,910.0,930.0,909.4758300000001,68800
2015-08-04,905.0,1105.0,900.0,1040.0,1017.0482789999999,845300
2015-08-05,1050.0,1075.0,985.0,990.0,968.151733,90000
2015-08-06,890.0,1055.0,890.0,955.0,933.924133,60200
2015-08-07,1005.0,1040.0,940.0,950.0,929.034485,39200
2015-08-10,1030.0,1030.0,860.0,945.0,924.1448359999999,90600
2015-08-11,1000.0,1000.0,945.0,945.0,924.1448359999999,40700
2015-08-12,990.0,1030.0,925.0,940.0,919.2551880000001,132800
2015-08-13,940.0,1000.0,870.0,870.0,850.7999880000001,3900
2015-08-14,870.0,870.0,840.0,840.0,821.462036,1500
2015-08-18,840.0,840.0,840.0,840.0,821.462036,0
2015-08-19,755.0,900.0,755.0,785.0,767.675842,40900
2015-08-20,785.0,815.0,775.0,775.0,757.8965450000001,1300
2015-08-21,850.0,850.0,810.0,815.0,797.0137940000001,6400
2015-08-24,815.0,815.0,720.0,815.0,797.0137940000001,109400
2015-08-25,815.0,815.0,775.0,815.0,797.0137940000001,5800
2015-08-26,815.0,815.0,750.0,815.0,797.0137940000001,600
2015-08-27,740.0,810.0,740.0,800.0,782.3448490000001,6600
2015-08-28,750.0,800.0,720.0,720.0,704.1103519999999,72400
2015-08-31,770.0,770.0,750.0,750.0,733.4482419999999,600
2015-09-01,735.0,750.0,720.0,750.0,733.4482419999999,26400
2015-09-02,745.0,750.0,735.0,735.0,718.7792969999999,37500
2015-09-03,750.0,750.0,705.0,705.0,689.4413450000001,5500
2015-09-04,735.0,740.0,735.0,735.0,718.7792969999999,5500
2015-09-07,730.0,730.0,730.0,730.0,713.8896480000001,2000
2015-09-08,700.0,730.0,700.0,725.0,709.0,17400
2015-09-09,785.0,785.0,690.0,700.0,684.551697,263500
2015-09-10,720.0,745.0,695.0,715.0,699.2207030000001,103000
2015-09-11,715.0,730.0,695.0,695.0,679.662048,162100
2015-09-14,725.0,725.0,695.0,695.0,679.662048,108700
2015-09-15,645.0,705.0,630.0,700.0,684.551697,3700
2015-09-16,720.0,720.0,635.0,635.0,620.9862059999999,2200
2015-09-17,650.0,730.0,645.0,730.0,713.8896480000001,136100
2015-09-18,725.0,725.0,675.0,675.0,660.1034549999999,2700
2015-09-21,700.0,705.0,700.0,705.0,689.4413450000001,200
2015-09-22,710.0,710.0,690.0,690.0,674.7724,24500
2015-09-23,710.0,725.0,710.0,725.0,709.0,80000
2015-09-25,715.0,735.0,700.0,700.0,684.551697,48300
2015-09-28,640.0,700.0,640.0,700.0,684.551697,1200
2015-09-29,645.0,650.0,645.0,650.0,635.6551509999999,3600
2015-09-30,700.0,700.0,680.0,700.0,684.551697,29800
2015-10-01,700.0,700.0,700.0,700.0,684.551697,0
2015-10-02,720.0,720.0,705.0,705.0,689.4413450000001,7600
2015-10-05,650.0,730.0,640.0,700.0,684.551697,8200
2015-10-06,675.0,675.0,675.0,675.0,660.1034549999999,3700
2015-10-07,700.0,720.0,645.0,715.0,699.2207030000001,7600
2015-10-08,655.0,720.0,655.0,720.0,704.1103519999999,11800
2015-10-09,660.0,730.0,660.0,730.0,713.8896480000001,2600
2015-10-12,730.0,730.0,730.0,730.0,713.8896480000001,0
2015-10-13,670.0,670.0,670.0,670.0,655.213806,100
2015-10-15,650.0,725.0,650.0,725.0,709.0,7500
2015-10-16,650.0,725.0,650.0,725.0,709.0,7500
2015-10-19,665.0,680.0,665.0,670.0,655.213806,4100
2015-10-20,670.0,720.0,670.0,720.0,704.1103519999999,25400
2015-10-21,665.0,675.0,660.0,660.0,645.4344480000001,26100
2015-10-22,670.0,715.0,670.0,715.0,699.2207030000001,37000
2015-10-23,705.0,705.0,705.0,705.0,689.4413450000001,3500
2015-10-26,700.0,700.0,700.0,700.0,684.551697,200
2015-10-27,675.0,695.0,670.0,670.0,655.213806,5300
2015-10-28,670.0,670.0,670.0,670.0,655.213806,0
2015-10-29,655.0,695.0,650.0,655.0,640.5448,68400
2015-10-30,670.0,670.0,670.0,670.0,655.213806,200
2015-11-02,695.0,695.0,630.0,630.0,616.096558,8400
2015-11-03,660.0,675.0,630.0,630.0,616.096558,69200
2015-11-04,615.0,700.0,615.0,680.0,664.993103,39500
2015-11-05,650.0,710.0,645.0,655.0,640.5448,37800
2015-11-06,710.0,715.0,630.0,630.0,616.096558,21400
2015-11-09,700.0,700.0,685.0,685.0,669.882751,22400
2015-11-10,650.0,655.0,625.0,625.0,611.206909,10000
2015-11-11,640.0,640.0,635.0,635.0,620.9862059999999,16800
2015-11-12,640.0,715.0,630.0,655.0,640.5448,48100
2015-11-13,720.0,720.0,720.0,720.0,704.1103519999999,100
2015-11-16,720.0,720.0,720.0,720.0,704.1103519999999,0
2015-11-17,720.0,720.0,650.0,650.0,635.6551509999999,17900
2015-11-18,650.0,650.0,650.0,650.0,635.6551509999999,0
2015-11-19,650.0,650.0,650.0,650.0,635.6551509999999,100
2015-11-20,720.0,720.0,720.0,720.0,704.1103519999999,100
2015-11-23,720.0,720.0,720.0,720.0,704.1103519999999,0
2015-11-24,710.0,720.0,710.0,720.0,704.1103519999999,10000
2015-11-25,650.0,655.0,650.0,650.0,635.6551509999999,1000
2015-11-26,660.0,660.0,650.0,650.0,635.6551509999999,4700
2015-11-27,690.0,690.0,690.0,690.0,674.7724,100
2015-11-30,640.0,640.0,630.0,630.0,616.096558,14200
2015-12-01,695.0,695.0,695.0,695.0,679.662048,100
2015-12-02,695.0,700.0,675.0,675.0,660.1034549999999,20700
2015-12-03,640.0,640.0,640.0,640.0,625.875854,100
2015-12-04,640.0,640.0,640.0,640.0,625.875854,0
2015-12-07,680.0,680.0,680.0,680.0,664.993103,200
2015-12-08,680.0,680.0,680.0,680.0,664.993103,0
2015-12-09,680.0,680.0,680.0,680.0,664.993103,0
2015-12-10,680.0,680.0,680.0,680.0,664.993103,0
2015-12-11,680.0,680.0,680.0,680.0,664.993103,0
2015-12-14,680.0,680.0,680.0,680.0,664.993103,0
2015-12-15,680.0,680.0,680.0,680.0,664.993103,0
2015-12-16,710.0,710.0,710.0,710.0,694.331055,100
2015-12-17,650.0,650.0,650.0,650.0,635.6551509999999,100
2015-12-18,650.0,650.0,650.0,650.0,635.6551509999999,0
2015-12-21,650.0,650.0,650.0,650.0,635.6551509999999,0
2015-12-22,610.0,610.0,605.0,610.0,596.537903,7700
2015-12-23,575.0,575.0,575.0,575.0,562.3103639999999,500
2015-12-28,640.0,650.0,600.0,600.0,586.758606,4300
2015-12-29,635.0,635.0,635.0,635.0,620.9862059999999,100
2015-12-30,630.0,715.0,630.0,700.0,684.551697,13600
2016-01-04,630.0,630.0,630.0,630.0,616.096558,300
2016-01-05,670.0,680.0,670.0,680.0,664.993103,8500
2016-01-06,720.0,720.0,650.0,695.0,679.662048,19200
2016-01-07,695.0,740.0,670.0,740.0,723.668945,16800
2016-01-08,740.0,740.0,740.0,740.0,723.668945,0
2016-01-11,740.0,740.0,740.0,740.0,723.668945,0
2016-01-12,770.0,770.0,770.0,770.0,753.006897,100
2016-01-13,770.0,770.0,770.0,770.0,753.006897,0
2016-01-14,770.0,770.0,770.0,770.0,753.006897,0
2016-01-15,770.0,770.0,770.0,770.0,753.006897,0
2016-01-18,775.0,775.0,730.0,770.0,753.006897,1700
2016-01-19,770.0,770.0,770.0,770.0,753.006897,0
2016-01-20,770.0,770.0,770.0,770.0,753.006897,0
2016-01-21,695.0,695.0,695.0,695.0,679.662048,1000
2016-01-22,650.0,650.0,650.0,650.0,635.6551509999999,1200
2016-01-25,625.0,650.0,625.0,650.0,635.6551509999999,3400
2016-01-26,650.0,650.0,620.0,645.0,630.7655030000001,14000
2016-01-27,650.0,650.0,625.0,625.0,611.206909,20000
2016-01-28,650.0,700.0,650.0,700.0,684.551697,2800
2016-01-29,700.0,700.0,700.0,700.0,684.551697,2900
2016-02-01,700.0,700.0,700.0,700.0,684.551697,0
2016-02-02,700.0,700.0,700.0,700.0,684.551697,0
2016-02-03,635.0,635.0,630.0,630.0,616.096558,1200
2016-02-04,670.0,670.0,670.0,670.0,655.213806,700
2016-02-05,670.0,670.0,670.0,670.0,655.213806,0
2016-02-09,675.0,675.0,675.0,675.0,660.1034549999999,1200
2016-02-10,660.0,660.0,660.0,660.0,645.4344480000001,1000
2016-02-11,660.0,660.0,660.0,660.0,645.4344480000001,0
2016-02-12,615.0,665.0,615.0,665.0,650.324158,8800
2016-02-15,750.0,750.0,600.0,600.0,586.758606,4300
2016-02-16,620.0,625.0,600.0,600.0,586.758606,327000
2016-02-17,615.0,615.0,600.0,600.0,586.758606,3800
2016-02-18,575.0,640.0,575.0,640.0,625.875854,700
2016-02-19,660.0,660.0,660.0,660.0,645.4344480000001,100
2016-02-22,690.0,690.0,690.0,690.0,674.7724,100
2016-02-23,690.0,690.0,645.0,645.0,630.7655030000001,200
2016-02-24,595.0,630.0,585.0,630.0,616.096558,2900
2016-02-25,630.0,630.0,630.0,630.0,616.096558,0
2016-02-26,585.0,585.0,585.0,585.0,572.089661,13000
2016-02-29,605.0,605.0,600.0,605.0,591.648254,900
2016-03-01,610.0,610.0,605.0,605.0,591.648254,2100
2016-03-02,565.0,570.0,565.0,565.0,552.5310059999999,37100
2016-03-03,550.0,550.0,545.0,545.0,532.972412,102400
2016-03-04,590.0,590.0,530.0,530.0,518.303467,7300
2016-03-07,545.0,600.0,540.0,565.0,552.5310059999999,69700
2016-03-08,555.0,560.0,555.0,560.0,547.6413570000001,3000
2016-03-10,555.0,555.0,555.0,555.0,542.751709,500
2016-03-15,510.0,515.0,510.0,515.0,503.634491,65400
2016-03-16,510.0,510.0,510.0,510.0,498.744812,209000
2016-03-17,510.0,510.0,510.0,510.0,498.744812,10100
2016-03-18,510.0,510.0,510.0,510.0,498.744812,0
2016-03-21,510.0,510.0,510.0,510.0,498.744812,1300
2016-03-22,500.0,500.0,500.0,500.0,488.96551500000004,400
2016-03-23,505.0,505.0,500.0,500.0,488.96551500000004,5800
2016-03-24,500.0,500.0,500.0,500.0,488.96551500000004,400
2016-03-28,510.0,510.0,510.0,510.0,498.744812,100
2016-03-29,480.0,480.0,480.0,480.0,469.40689100000003,1800
2016-03-30,480.0,500.0,480.0,500.0,488.96551500000004,1100
2016-03-31,500.0,500.0,500.0,500.0,488.96551500000004,500
2016-04-01,500.0,500.0,485.0,485.0,474.29653899999994,8700
2016-04-04,545.0,545.0,485.0,530.0,518.303467,6900
2016-04-05,545.0,545.0,535.0,535.0,523.193115,2000
2016-04-06,555.0,555.0,520.0,535.0,523.193115,4300
2016-04-07,550.0,550.0,500.0,530.0,518.303467,5200
2016-04-08,545.0,545.0,490.0,500.0,488.96551500000004,1600
2016-04-12,510.0,510.0,510.0,510.0,498.744812,100
2016-04-19,510.0,510.0,510.0,510.0,498.744812,0
2016-04-20,465.0,465.0,435.0,460.0,449.84826699999996,7500
2016-04-21,499.0,499.0,470.0,497.0,486.031708,7500
2016-04-22,495.0,495.0,461.0,480.0,469.40689100000003,2900
2016-04-25,460.0,460.0,448.0,450.0,440.06897000000004,13400
2016-04-26,450.0,463.0,449.0,463.0,452.782074,1900
2016-04-27,455.0,455.0,452.0,452.0,442.02481100000006,5200
2016-04-28,450.0,450.0,450.0,450.0,440.06897000000004,10000
2016-04-29,450.0,469.0,435.0,469.0,458.649658,600
2016-05-02,484.0,484.0,484.0,484.0,473.318604,100
2016-05-03,480.0,480.0,456.0,456.0,445.936554,8300
2016-05-04,474.0,474.0,474.0,474.0,463.539307,100
2016-05-09,474.0,494.0,470.0,470.0,459.62759400000004,1700
2016-05-10,470.0,478.0,440.0,478.0,467.45101900000003,3000
2016-05-11,474.0,484.0,460.0,474.0,463.539307,300
2016-05-12,450.0,470.0,450.0,468.0,457.671722,2000
2016-05-13,468.0,470.0,468.0,470.0,459.62759400000004,100
2016-05-16,460.0,460.0,460.0,460.0,449.84826699999996,100
2016-05-17,466.0,550.0,450.0,476.0,465.495178,96100
2016-05-18,462.0,530.0,456.0,496.0,485.053772,40000
2016-05-19,515.0,515.0,474.0,500.0,488.96551500000004,17100
2016-05-20,474.0,498.0,450.0,496.0,485.053772,3
2016-05-23,500.0,580.0,500.0,505.0,493.85516399999995,16300
2016-05-24,474.0,530.0,474.0,530.0,518.303467,3
2016-05-25,580.0,580.0,510.0,550.0,537.862061,3800
