Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,254.0,254.0,230.0,254.0,254.0,25885000
2018-07-13,290.0,314.0,216.0,222.0,222.0,120484100
2018-07-16,222.0,254.0,195.0,236.0,236.0,221070400
2018-07-17,238.0,260.0,236.0,254.0,254.0,229216200
2018-07-18,254.0,316.0,254.0,292.0,292.0,110558200
2018-07-19,298.0,326.0,294.0,316.0,316.0,90299200
2018-07-20,320.0,334.0,288.0,296.0,296.0,72237100
2018-07-23,298.0,298.0,266.0,266.0,266.0,87457700
2018-07-24,266.0,290.0,266.0,286.0,286.0,88056200
2018-07-25,286.0,300.0,280.0,282.0,282.0,65851200
2018-07-26,284.0,352.0,276.0,352.0,352.0,105226600
2018-07-27,354.0,362.0,290.0,290.0,290.0,200257600
2018-07-30,290.0,326.0,270.0,302.0,302.0,62955600
2018-07-31,308.0,366.0,302.0,358.0,358.0,63427700
2018-08-01,360.0,434.0,286.0,290.0,290.0,51864300
2018-08-02,294.0,328.0,248.0,254.0,254.0,121098700
2018-08-03,258.0,264.0,198.0,200.0,200.0,63235400
2018-08-06,206.0,206.0,191.0,193.0,193.0,59441800
2018-08-07,195.0,218.0,185.0,193.0,193.0,45801900
2018-08-08,193.0,202.0,185.0,187.0,187.0,3493900
2018-08-09,187.0,197.0,177.0,185.0,185.0,18593600
2018-08-10,185.0,196.0,183.0,186.0,186.0,4699700
2018-08-13,192.0,194.0,184.0,185.0,185.0,22298600
2018-08-14,185.0,210.0,176.0,204.0,204.0,15704000
2018-08-15,199.0,210.0,194.0,202.0,202.0,4785600
2018-08-16,200.0,204.0,196.0,196.0,196.0,842600
2018-08-17,196.0,196.0,196.0,196.0,196.0,0
2018-08-20,199.0,202.0,195.0,195.0,195.0,3151900
2018-08-21,195.0,202.0,193.0,200.0,200.0,3359000
2018-08-22,200.0,200.0,200.0,200.0,200.0,0
2018-08-23,200.0,210.0,195.0,202.0,202.0,3145200
2018-08-24,200.0,206.0,199.0,199.0,199.0,1616700
2018-08-27,199.0,202.0,196.0,197.0,197.0,1241900
2018-08-28,197.0,206.0,197.0,199.0,199.0,1111200
2018-08-29,199.0,220.0,197.0,199.0,199.0,6191500
2018-08-30,200.0,214.0,200.0,202.0,202.0,2651100
2018-08-31,202.0,212.0,198.0,208.0,208.0,1980000
2018-09-03,208.0,226.0,204.0,210.0,210.0,3669600
2018-09-04,212.0,222.0,208.0,218.0,218.0,18122000
2018-09-05,218.0,222.0,200.0,204.0,204.0,3750600
